datetime,lat,lon,elev
nan,60.002174,-67.126637,44.00
nan,60.004406,-67.126637,43.40
nan,60.006638,-67.126637,43.60
nan,60.008869,-67.126465,43.60
nan,60.011101,-67.126465,43.60
nan,60.013332,-67.126465,43.60
nan,60.015392,-67.126293,43.60
nan,60.017796,-67.126293,44.20
nan,60.020027,-67.126293,44.20
nan,60.022259,-67.126293,44.30
nan,60.024490,-67.126121,44.30
nan,60.026550,-67.126121,44.50
nan,60.028782,-67.126121,44.50
nan,60.031014,-67.125950,43.90
nan,60.033245,-67.125950,44.00
nan,60.035477,-67.125950,44.00
nan,60.037708,-67.125950,44.00
nan,60.039940,-67.125778,44.00
nan,60.042172,-67.125778,44.20
nan,60.044403,-67.125778,44.50
nan,60.046635,-67.125607,44.50
nan,60.048866,-67.125607,44.70
nan,60.051098,-67.125607,44.70
nan,60.053329,-67.125607,44.70
nan,60.055561,-67.125435,44.80
nan,60.057793,-67.125435,44.70
nan,60.060024,-67.125435,44.70
nan,60.062256,-67.125435,44.70
nan,60.064487,-67.125263,44.70
nan,60.066719,-67.125263,44.70
nan,60.068951,-67.125263,44.50
nan,60.071182,-67.125092,44.70
nan,60.073414,-67.125092,44.70
nan,60.075645,-67.125092,44.70
nan,60.077877,-67.125092,44.70
nan,60.080109,-67.124920,44.70
nan,60.082340,-67.124920,44.70
nan,60.084572,-67.124920,44.70
nan,60.086803,-67.124748,44.70
nan,60.089035,-67.124748,44.80
nan,60.091267,-67.124748,45.00
nan,60.093498,-67.124577,45.00
nan,60.095730,-67.124577,45.00
nan,60.097961,-67.124577,45.00
nan,60.100193,-67.124405,45.10
nan,60.102425,-67.124405,45.10
nan,60.104656,-67.124405,45.10
nan,60.106888,-67.124405,45.10
nan,60.109119,-67.124233,45.30
nan,60.111351,-67.124233,45.30
nan,60.113411,-67.124233,45.30
nan,60.115642,-67.124062,45.40
nan,60.117874,-67.124062,45.40
nan,60.120106,-67.124062,45.60
nan,60.122337,-67.124062,45.40
nan,60.124569,-67.123890,45.90
nan,60.126801,-67.123890,45.90
nan,60.129032,-67.123890,45.90
nan,60.131264,-67.123718,45.90
nan,60.133495,-67.123718,45.90
nan,60.135727,-67.123718,45.90
nan,60.137959,-67.123718,45.40
nan,60.140190,-67.123718,45.40
nan,60.142422,-67.123547,45.40
nan,60.144653,-67.123547,45.40
nan,60.146885,-67.123547,45.40
nan,60.149116,-67.123547,45.60
nan,60.151176,-67.123375,46.30
nan,60.153408,-67.123375,46.30
nan,60.155640,-67.123375,46.50
nan,60.157871,-67.123203,46.60
nan,60.160103,-67.123203,46.60
nan,60.162334,-67.123203,46.80
nan,60.164566,-67.123032,46.00
nan,60.166798,-67.123032,46.20
nan,60.169029,-67.123032,46.20
nan,60.171261,-67.123032,46.20
nan,60.173492,-67.123032,46.30
nan,60.175724,-67.122860,46.30
nan,60.177956,-67.122860,47.20
nan,60.180187,-67.122860,47.20
nan,60.182419,-67.122688,47.40
nan,60.184479,-67.122688,47.40
nan,60.186882,-67.122688,47.50
nan,60.188942,-67.122688,47.70
nan,60.191174,-67.122517,46.90
nan,60.193405,-67.122517,46.90
nan,60.195637,-67.122517,47.10
nan,60.197868,-67.122345,47.10
nan,60.200100,-67.122345,47.10
nan,60.202331,-67.122345,47.10
nan,60.204563,-67.122345,47.90
nan,60.206795,-67.122173,47.90
nan,60.209026,-67.122173,47.90
nan,60.211258,-67.122173,48.00
nan,60.213490,-67.122002,48.00
nan,60.215721,-67.122002,48.20
nan,60.217781,-67.122002,47.70
nan,60.220013,-67.122002,47.70
nan,60.222244,-67.121830,47.70
nan,60.224476,-67.121830,47.90
nan,60.226708,-67.121830,47.90
nan,60.228939,-67.121658,47.90
nan,60.231171,-67.121658,48.60
nan,60.233402,-67.121658,48.60
nan,60.235634,-67.121487,48.80
nan,60.237865,-67.121487,48.80
nan,60.239925,-67.121487,48.90
nan,60.242157,-67.121315,48.90
nan,60.244389,-67.121315,48.50
nan,60.246620,-67.121315,48.60
